Stock NO,Shape,Carat,Clarity,Color,Cut,Polish,Symmetry,Fluorescent,CULET,Location,ImageLink,CertificateLink,VideoLink,PPC,Total Price
1146434,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182159-611.jpg,https://diamanti.s3.amazonaws.com/certificates/1309175093.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182159-611,1937.25,581.18
1143952,ROUND,0.3,VVS2,E,EX,EX,EX,F,N,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/7311814188.jpg,,1822.23,546.67
1147455,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182316-918.jpg,https://diamanti.s3.amazonaws.com/certificates/5313839365.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182316-918,1964.25,589.28
1137947,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183320-553.jpg,https://diamanti.s3.amazonaws.com/certificates/6311771487.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183320-553,1934.01,580.2
1147458,ROUND,0.3,VVS2,E,EX,EX,VG,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183335-1339.jpg,https://diamanti.s3.amazonaws.com/certificates/7311866061.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183335-1339,1695.06,508.52
1121248,ROUND,0.3,VVS2,E,EX,EX,EX,N,VSM,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180898-338.jpg,https://diamanti.s3.amazonaws.com/certificates/2317569033.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180898-338,1893.24,567.97
1147460,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183334-2537.jpg,https://diamanti.s3.amazonaws.com/certificates/5313865995.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183334-2537,1937.25,581.18
1154247,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183343-1518.jpg,,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183343-1518,1944,583.2
1150653,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183339-1176.jpg,https://diamanti.s3.amazonaws.com/certificates/6312901218.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183339-1176,1917,575.1
1123387,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182294-1032.jpg,https://diamanti.s3.amazonaws.com/certificates/6315574196.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182294-1032,1850.04,555.01
1130692,OVAL,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180937-565.jpg,https://diamanti.s3.amazonaws.com/certificates/6312676985.jpg,,1938.06,581.42
1123386,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180905-493.jpg,https://diamanti.s3.amazonaws.com/certificates/6315569016.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180905-493,1817.1,545.13
1135669,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182311-1522.jpg,https://diamanti.s3.amazonaws.com/certificates/6312739955.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182311-1522,1897.02,569.11
1127686,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180937-181.jpg,https://diamanti.s3.amazonaws.com/certificates/2314678735.jpg,,1867.05,560.12
1124540,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180905-1804.jpg,https://diamanti.s3.amazonaws.com/certificates/6311649774.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180905-1804,1880.01,564
1151553,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183343-1176.jpg,https://diamanti.s3.amazonaws.com/certificates/2314918827.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183343-1176,1944,583.2
1150654,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183339-1656.jpg,https://diamanti.s3.amazonaws.com/certificates/6311904770.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183339-1656,1944,583.2
1153004,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183343-1219.jpg,,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183343-1219,1917,575.1
1130219,ROUND,0.3,VVS2,E,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/7318522378.jpg,,1859.22,557.77
1131870,PEAR,0.3,VVS2,E,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6302779071.jpg,,1912.14,573.64
1139562,PEAR,0.3,VVS2,E,EX,VG,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1305693257.jpg,,1674,502.2
1153702,PEAR,0.3,VVS2,E,EX,EX,VG,N,NONE,MUMBAI,,,,1728,518.4
1120805,ROUND,0.3,VVS2,E,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1319221757.jpg,,1618.11,485.43
1120803,ROUND,0.3,VVS2,E,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/5313420794.jpg,,1618.11,485.43
1120807,OVAL,0.3,VVS2,E,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6305784202.jpg,,1628.1,488.43
